Utility Function Values	a value	0.7	a prime value	0.3	b value	0.3	b prime value	0.7

Job Number	Time Step	Model Population	# of Agents	Ratio of Conservers to Total Agents	Total Demand
null1	0.1	17	5	0.0	63750.0
1	1.1	27	6	0.3333333333333333	97500.0
1	2.1	30	8	0.125	109500.0
1	3.1	38	9	0.2222222222222222	137250.0
1	4.1	38	9	0.2222222222222222	137250.0
2	0.1	25	5	0.0	93750.0
2	1.1	32	6	0.3333333333333333	111750.0
2	2.1	44	8	0.5	151500.0
2	3.1	48	9	0.2222222222222222	172500.0
2	4.1	48	9	0.1111111111111111	177750.0

